Authors	Year	Title	Journal	DOI	Oases	lat	long	Country	Reviewer
Houria Abdelbakia, Abdeldjalil Belkendilb, Abdelhak Maazouzia, Abderrahmane Mekkaoui	2022	Assessment of hydrochemical properties of groundwater in the alluvialaquifer of the arid zone of the Igli Region, South-West of Algeria	Desalination and Water Treatment	10.5004/dwt.2022.28709	Igli	30.446697	-2.282433	Algeria	MF
Djihed Berkouk , Tallal Abdel Karim Bouzir, Samiha Boucherit, Sara Khelil, Chafik Mahaya, Mohamed Elhadi Matallah, Said Mazouz	2022	Exploring the Multisensory Interaction between Luminous, Thermal and Auditory Environments through the Spatial Promenade Experience: A Case Study of a University Campus in an Oasis Settlement	sustainability	10.3390/su14074013	Biskra oasis	34.833333	5.75	Algeria	JAHA
Peter C. Chu, Shihua Lu, Yuchun Chen	2005	A numerical modeling study on desert oasis self-supporting mechanisms	Journal of Hydrology	10.1016/j.jhydrol.2005.02.043	Ahreme	25.454826	8.4198	Algeria	JAHA
Nacima Deghiche-Diab, Hani Amir Aouissi, Tesnim Deghiche	2022	First record of the sawfly Athalia cornubiae Benson, 1931 (Hymenoptera: Tenthredinidae) in the oasis of Ziban	Journal of Ecology	10.1111/aje.13067	El Hadjeb	34.806146	5.654864	Algeria	MF
Mohammed Faci	2019	Typology and varietal biodiversity of date palm farms in the North-East of Algerian Sahara	Journal of Taibah University for Science	10.1080/16583655.2019.1633006	Ouargla oasis	31.966667	5.333333	Algeria	JAHA
 Omar Guezoul, Haroun Chenchouni, Makhlouf Sekour, Labed Ababsa, Karim Souttou, Salaheddine Doumandji 	2013	An avifaunal survey of mesic manmade ecosystems ‘‘Oases’’ in algerian hot-hyperarid lands	Saudi Journal of Biological Sciences	10.1016/j.sjbs.2012.10.001	Oued Souf oasis	33.365293	6.854822	Algeria	JAHA
 Omar Guezoul, Haroun Chenchouni, Makhlouf Sekour, Labed Ababsa, Karim Souttou, Salaheddine Doumandji 	2013	An avifaunal survey of mesic manmade ecosystems ‘‘Oases’’ in algerian hot-hyperarid lands	Saudi Journal of Biological Sciences	10.1016/j.sjbs.2012.10.001	Ouargla oasis	31.966667	5.333333	Algeria	JAHA
 Omar Guezoul, Haroun Chenchouni, Makhlouf Sekour, Labed Ababsa, Karim Souttou, Salaheddine Doumandji 	2013	An avifaunal survey of mesic manmade ecosystems ‘‘Oases’’ in algerian hot-hyperarid lands	Saudi Journal of Biological Sciences	10.1016/j.sjbs.2012.10.001	Biskra oasis	34.833333	5.75	Algeria	JAHA
Hamza Harkat, Ratiba Bousba, Cinzia Benincasa , Kamel Atrouz , Mine Gültekin- zgüven, mit Altuntas, Evren Demircan, Hamdy A. Zahran, Beraatz elik	2022	Assessment of Biochemical Composition and Antioxidant Properties of Algerian Date Palm (Phoenix dactylifera L.) Seed Oil	plants	10.3390/plants11030381	Biskra oasis	34.833333	5.75	Algeria	JAHA
Mohamed Elhadi Matallah , Djamel Alkama, Atef Ahriz, Shady Attia	2020	Assessment of the Outdoor Thermal Comfort in Oases Settlements	atmosphere	10.3390/atmos11020185	Tolga	34.716667	5.383333	Algeria	JAHA
